,Name ,Client,Description,Comments,Tags,Link,Additional Prompt ,images
1,QC Agent,Springer,"AI AssistantGlobal Spend and Saving DashboardGlobal Spend and Saving DashboardGlobal ","Please add some emails to the sheet. Remove DPD name from these emails. Right now we cannot demo this as-is, and willl need default data in it. Also the Output Sheet required access rights. This should be available to all, as anyone can do the demo","LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxftnIwzQGaNdOC_pC261Vdrjch4ggJvmcw9Klx38vRGX7p3hUQhxsfW-zJXCe2DOa1/exec,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130407.png
2,Email Assist Agent,Springer,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items.,Please add the simple version of this. Have added. This is on Gramener Solution page,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbwzIhLiISFk_WJAMVF0FKcvyTaaJttf28NnhVHqMcpHmnyRjYHKm_p3yu5cOcbsL7laVw/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1246).png
3,Email Agent with user ID and JWT Token,Elsevier,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides id based access.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxlKzkNYoG92xHNFvyOyZY4PXUJG4O-XNUbYB-Nrgsr9xNbY41eHPhBJAeOcFHDyaJs/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1247).png
4,Email Agent with Prompts,Elsevier,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides option to provide prompts .,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbx3ykyuDliepv2jPDoOQL_Tq9fwcb3TRXSGXwzfPZyTHh8gkGi7ghyzGkzQBvlSYBm0/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1247).png
5,Email Agent with Investigation Input,,Utilize generative AI to summarize the content of the provided consumer email and extract actionable items. Additionally provides option to investigate input with more prompts.,Please add this version - This should become our standard Demo,"LLM, GenAI",,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1248).png
6,Image Analysis,,"Utilizing large language models for the automated analysis and classification of asset classes including Traffic Lights, Street Lights, Hydrants, Street Signs, Crosswalks, and Trees in urban environments.",,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxTB9kST68zG3ksSl7fau9VmwzpLbTjOtdTziuFSkPMQc_1S-aSurtPa1dauyGw8Eb6/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1249).png
7,Demo PDF Email Data Extraction and Analysis,,,,"LLM, GenAI",https://docs.google.com/spreadsheets/d/1Kym5XAauVTWHscStioa7rq5LZCFiDtaBvFJqIMT9oX8/edit?usp=drive_link,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1250).png
8,Fraud call handling Call Training,UOB,Comprehensive training program for customer care team focused on effectively managing and mitigating fraud calls using advanced language model techniques,Upload audio(functionality doesnt exist)--creates transcript in input transcript format--analyse to get the response which is feedback from trainer to agent on how agent handled the call while talking to the defrauded customer-- convert the conversation into audio.,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxmRxF5SOWWQpbXRc3oF9-hQxqq7_LCP8tg-LnMpMFMGp2VAsxQS8OdndiAHrCzzTNW/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1251).png
9,AI Security tool,SCB,"An AI-driven security tool utilizing large language models to monitor and protect email communications, ensuring sensitive data remains secure and prevents unauthorized transmission","1. we have created 2 email samples where mail sent by bank employee is flagged as data leakage by the traditional ai. LLM model is used to flag the mails as false positive or false negative. 2. We have log samples where LLM shows weightage to all the mails which can be potential data leakage mails and which are not.","LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbzb31Yw-ytsREsWJ7zo2CYzSArF16Ljif9a7NLGk8LgPqW2AE-1sh57L7yBjQk3YooR/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1252).png
10,Regulatory Complaint Investigation,LN Risk,"AI-enabled solution for extracting key information, generating summaries, and identifying action items from PDF documents and images",,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxbIU_Vy-yiK1DlUpcAdKwf3D9J-g-c3uUzvq2Frs93EE442FUvbUPqWjFVDYdZGS8ITQ/exec,"Mention the details in the draft response,  that the user  can track their complaint by quoting the Case Number - ABC345. ",https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130931.png
11,Preqin Grammar correction ,Preqin,AI-enabled grammar correction utilizes advanced algorithms to enhance writing accuracy by identifying and rectifying grammatical errors in real-time.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbzPYgfi7hi2GG4SLvXVrhamw2SAOLG6HZ3dNjEVyY0xUCcSnbMNAZwCq4gYCm-xH-nqVw/exec,https://docs.google.com/spreadsheets/d/1IBZyDaakKlMkTTk-ejsANjFtaYGCrUrV6omMezhnX2Y/edit?gid=25104541#gid=25104541,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1253).png
12,Chat Assist,,An AI-enabled chat assistant that integrates agent input to generate concise summaries and actionable item.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxDxYYuJhT2NNE-EmWzi0YCzF5cbLf1799sI143TND9LJYtGu3e1B3gwd8qBhIATMM0/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1254).png
13,JHI Demo - Data reconcilation,,AI-enabled data reconciliation streamlines the verification process by automating data comparison and generating comprehensive summaries and reports for enhanced decision-making,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxuVKyohYk7v0zz3zRoVOXPpv2yQx85-7wcF9qfQzAe6UFRATTM9xICp5LOqdJxa9IL/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1255).png
14,Code Conversion,,"This application has capabilities that transforms uploaded PHP projects to Node.js equivalents using an LLM-based pipeline. Users can preview their original structure, see a recommended layout, and download the converted code as a ZIP. The interface includes progress tracking, theme toggling, and toast notifications.",,"LLM, GenAI",https://mounesh301.github.io/Code_converter/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130452.png
15,Track Change and LLM Analysis,,"The application functions like a document change tracker, allowing users to see modifications and contributors.",,"LLM, GenAI",https://explore-sdp.straive.com:8083,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125501.png
16,Doc Search,,"Docsearch is a Q&A tool that allows users to upload documents and URLs, creating embeddings for information extraction. It enables users to ask questions and receive context-based answers, complete with citations and follow-up questions, enhancing the search and retrieval of relevant information from the uploaded content.",,"LLM, GenAI",https://docsearch.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125719.png
17,Reconcile,,"The Data Reconciliation Dashboard is a powerful AI-enabled tool designed to streamline the verification process of data across various sources. This comprehensive dashboard provides users with a clear and intuitive interface to monitor, analyze, and report on data discrepancies, ensuring enhanced decision-making and operational efficiency.",,"LLM, GenAI",https://reconcileai.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-17 132250.png
18,Data Chat,L&T,"Data Chat is an innovative application that enhances user interaction with complex datasets by intelligently processing CSV files. It generates insightful questions and answers, allowing users to explore data effectively. Key features include a query-saving option and a feedback mechanism for improving responses from the language model.",,"LLM, GenAI",https://datachat.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130134.png
19,RFP Automation,"Microsoft, Panasonic, PG","This application is designed to facilitate the management and organization of Request for Proposal (RFP) processes by providing users with various tools. These tools include generating RFP Summaries, Bid Plan, Bid Team, Answering questions related to RFPS etc. User can also track responses and re-evaluate the goodness of the answers that are generated using Generative AI that uses RFP as a context.",,"LLM, GenAI",https://llmfoundry.straive.com/apps/RFP-Dashboard.html,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125913.png
20,Response Creator,"Microsoft, Panasonic, PG","The application is a Q&A tool that extracts information from uploaded documents and URLs. Users can ask questions, receive answers based on document context, and select specific files for queries. It offers an AI accuracy check, allows users to add key points, and saves responses in a downloadable JSON format for tracking.",,"LLM, GenAI",https://doctalk.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/image.png
21,Incident Analysis,ScotiaBank,"The application provides incident analytics and visualizations through Sankey and network graphs. Sankey flow reveals correlations between shift, region, team, and service, while network flow displays service dependencies, incident counts, and duration. An integrated LLM generates answers, key concerns, solutions, and recommendations for problematic operational areas based on incident data.",,"LLM, GenAI",https://incidents.straive.app/,,https://raw.githubusercontent.com/badal0091/solution-page/main/image (1).png
22,Data Lineage,," This application loads CSV or SQLite data, then uses an LLM to generate SQL queries and display results. It offers dynamic category filtering, a lineage diagram via D3, and Chart.js visuals. The app also includes a dark-mode toggle, sample questions and robust data management for user convenience.",,"LLM, GenAI",https://mounesh301.github.io/Data-Lineage/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130340.png
